title,genre,director,country,year,url
36 безумных кулаков,боевиккомедия,Чэнь Чжихуа,Гонконг,1977,https://ru.wikipedia.org/wiki/36_%D0%B1%D0%B5%D0%B7%D1%83%D0%BC%D0%BD%D1%8B%D1%85_%D0%BA%D1%83%D0%BB%D0%B0%D0%BA%D0%BE%D0%B2
34-й скорый,Фильм-катастрофаприключенческий фильмдрама,Андрей Малюков,СССР,30 декабря 1981,https://ru.wikipedia.org/wiki/34-%D0%B9_%D1%81%D0%BA%D0%BE%D1%80%D1%8B%D0%B9
33 (фильм),драма,Патрисия Ригген,США Чили Колумбия,2015,https://ru.wikipedia.org/wiki/33_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
32-е августа на Земле,"драма, мелодрама",Дени Вильнёв,Канада,1998,https://ru.wikipedia.org/wiki/32-%D0%B5_%D0%B0%D0%B2%D0%B3%D1%83%D1%81%D1%82%D0%B0_%D0%BD%D0%B0_%D0%97%D0%B5%D0%BC%D0%BB%D0%B5
32 декабря (фильм),"комедия, фантастикамелодрама",Александр Муратов,Россия,2004,https://ru.wikipedia.org/wiki/32_%D0%B4%D0%B5%D0%BA%D0%B0%D0%B1%D1%80%D1%8F_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
31-й километр,"ужасы, мистика",Ригоберто Кастаньеда,Мексика Испания,2006,https://ru.wikipedia.org/wiki/31-%D0%B9_%D0%BA%D0%B8%D0%BB%D0%BE%D0%BC%D0%B5%D1%82%D1%80
31 июня (фильм),"музыкальный фильм (мюзикл), фэнтези",Леонид Квинихидзе,СССР,,https://ru.wikipedia.org/wiki/31_%D0%B8%D1%8E%D0%BD%D1%8F_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
31 (фильм),Фильм ужасов,Роб Зомби,США,2016,https://ru.wikipedia.org/wiki/31_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
30 Rock: A XXX Parody,порнофильм,Ли Рой Майерс,США,2009,https://ru.wikipedia.org/wiki/30_Rock:_A_XXX_Parody
30 свиданий,комедиямелодрама,Таисия Игуменцева,Россия,2016,https://ru.wikipedia.org/wiki/30_%D1%81%D0%B2%D0%B8%D0%B4%D0%B0%D0%BD%D0%B8%D0%B9
30 ночей паранормального явления с одержимой девушкой с татуировкой дракона,комедийный фильм ужасов,Крэйг Мосс,США,2012,https://ru.wikipedia.org/wiki/30_%D0%BD%D0%BE%D1%87%D0%B5%D0%B9_%D0%BF%D0%B0%D1%80%D0%B0%D0%BD%D0%BE%D1%80%D0%BC%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D0%B3%D0%BE_%D1%8F%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D1%8F_%D1%81_%D0%BE%D0%B4%D0%B5%D1%80%D0%B6%D0%B8%D0%BC%D0%BE%D0%B9_%D0%B4%D0%B5%D0%B2%D1%83%D1%88%D0%BA%D0%BE%D0%B9_%D1%81_%D1%82%D0%B0%D1%82%D1%83%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%BE%D0%B9_%D0%B4%D1%80%D0%B0%D0%BA%D0%BE%D0%BD%D0%B0
30 дней ночи: Тёмные времена,триллер / фильм ужасов,Бен Кетай,США,2010,https://ru.wikipedia.org/wiki/30_%D0%B4%D0%BD%D0%B5%D0%B9_%D0%BD%D0%BE%D1%87%D0%B8:_%D0%A2%D1%91%D0%BC%D0%BD%D1%8B%D0%B5_%D0%B2%D1%80%D0%B5%D0%BC%D0%B5%D0%BD%D0%B0
30 дней ночи,фильм о вампирах,Дэвид Слейд,США,16 октября 2007[2] и 8 ноября 2007[3],https://ru.wikipedia.org/wiki/30_%D0%B4%D0%BD%D0%B5%D0%B9_%D0%BD%D0%BE%D1%87%D0%B8
30 дней до рассвета,фильм ужасовкомедия,Андерс Банке,Швеция,2006,https://ru.wikipedia.org/wiki/30_%D0%B4%D0%BD%D0%B5%D0%B9_%D0%B4%D0%BE_%D1%80%D0%B0%D1%81%D1%81%D0%B2%D0%B5%D1%82%D0%B0
30 безумных желаний,независимый кинематограф,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}Питер Хатчингс[вд]",США,2018,https://ru.wikipedia.org/wiki/30_%D0%B1%D0%B5%D0%B7%D1%83%D0%BC%D0%BD%D1%8B%D1%85_%D0%B6%D0%B5%D0%BB%D0%B0%D0%BD%D0%B8%D0%B9
"29-я улица (фильм, 1991)",комедиядрама,Джордж Галло,США,1991,"https://ru.wikipedia.org/wiki/29-%D1%8F_%D1%83%D0%BB%D0%B8%D1%86%D0%B0_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1991)"
"29 пальм (фильм, 2003)",драмароуд-муви,Брюно Дюмон,Франция Германия США,2003,"https://ru.wikipedia.org/wiki/29_%D0%BF%D0%B0%D0%BB%D1%8C%D0%BC_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_2003)"
29 километр (фильм),"драма, музыкальный фильм",Леонид Андронов,Россия,2012,https://ru.wikipedia.org/wiki/29_%D0%BA%D0%B8%D0%BB%D0%BE%D0%BC%D0%B5%D1%82%D1%80_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
28 недель спустя,постапокалиптический фильм ужасов,Хуан Карлос Фреснадильо,Великобритания США Испания[2],2007,https://ru.wikipedia.org/wiki/28_%D0%BD%D0%B5%D0%B4%D0%B5%D0%BB%D1%8C_%D1%81%D0%BF%D1%83%D1%81%D1%82%D1%8F
28 лет спустя: Храм костей,постапокалиптический фильм ужасов,Ниа Дакоста[англ.],Великобритания США,2026,https://ru.wikipedia.org/wiki/28_%D0%BB%D0%B5%D1%82_%D1%81%D0%BF%D1%83%D1%81%D1%82%D1%8F:_%D0%A5%D1%80%D0%B0%D0%BC_%D0%BA%D0%BE%D1%81%D1%82%D0%B5%D0%B9
28 лет спустя,постапокалиптический фильм ужасов,Дэнни Бойл,Великобритания США,2025,https://ru.wikipedia.org/wiki/28_%D0%BB%D0%B5%D1%82_%D1%81%D0%BF%D1%83%D1%81%D1%82%D1%8F
28 дней спустя,постапокалиптический фильм ужасов,Дэнни Бойл,Великобритания,2002,https://ru.wikipedia.org/wiki/28_%D0%B4%D0%BD%D0%B5%D0%B9_%D1%81%D0%BF%D1%83%D1%81%D1%82%D1%8F
28 дней,"драма, комедия",Бетти Томас,США,2000,https://ru.wikipedia.org/wiki/28_%D0%B4%D0%BD%D0%B5%D0%B9
27-й день,научная фантастика,Уильям Эшер,США,1957,https://ru.wikipedia.org/wiki/27-%D0%B9_%D0%B4%D0%B5%D0%BD%D1%8C
